source_experiment_id,process_pair,process_pair_label,channel_a,channel_b,encoder_mode,source_augmentation_code,augmentation_sequence,augmentation_file_name,classifier,classifier_label,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,random_encoder_accuracy,random_encoder_balanced_accuracy,random_encoder_precision,random_encoder_recall,random_encoder_f1,random_encoder_roc_auc,accuracy_gain_over_random_encoder,balanced_accuracy_gain_over_random_encoder,precision_gain_over_random_encoder,recall_gain_over_random_encoder,f1_gain_over_random_encoder,roc_auc_gain_over_random_encoder,process_pair_order,classifier_order,augmentation_order,accuracy_rank_within_pair_classifier,roc_auc_rank_within_pair_classifier
ggf_ttbar_random,ggf_vs_ttbar,ggF vs $t\bar{t}$,ggf,ttbar,random,random,Random Untrained Encoder,random_untrained_encoder,logistic_regression,Logistic Regression,0.792,0.792,0.8041666666666667,0.772,0.7877551020408163,0.8710240000000001,0.792,0.792,0.8041666666666667,0.772,0.7877551020408163,0.8710240000000001,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1,,
ggf_ttbar_none,ggf_vs_ttbar,ggF vs $t\bar{t}$,ggf,ttbar,pretrained,none,No Augmentation,no_augmentation,logistic_regression,Logistic Regression,0.765,0.765,0.7874186550976139,0.726,0.7554630593132154,0.839364,0.792,0.792,0.8041666666666667,0.772,0.7877551020408163,0.8710240000000001,-0.027000000000000024,-0.027000000000000024,-0.016748011569052812,-0.04600000000000004,-0.03229204272760089,-0.03166000000000013,0,0,0,17.0,17.0
ggf_ttbar_rex,ggf_vs_ttbar,ggF vs $t\bar{t}$,ggf,ttbar,pretrained,rex,Rotation → Energy Noise → XYZ Noise,rotation_then_energy_noise_then_xyz_noise,logistic_regression,Logistic Regression,0.88,0.88,0.8696498054474708,0.894,0.8816568047337278,0.94096,0.792,0.792,0.8041666666666667,0.772,0.7877551020408163,0.8710240000000001,0.08799999999999997,0.08799999999999997,0.06548313878080414,0.122,0.09390170269291143,0.06993599999999989,0,0,1,11.0,11.0
ggf_ttbar_res,ggf_vs_ttbar,ggF vs $t\bar{t}$,ggf,ttbar,pretrained,res,Rotation → Energy Noise → Spatial Shift,rotation_then_energy_noise_then_spatial_shift,logistic_regression,Logistic Regression,0.881,0.881,0.87279843444227,0.892,0.8822947576656776,0.943436,0.792,0.792,0.8041666666666667,0.772,0.7877551020408163,0.8710240000000001,0.08899999999999997,0.08899999999999997,0.06863176777560331,0.12,0.09453965562486122,0.07241199999999992,0,0,2,10.0,10.0
ggf_ttbar_rec,ggf_vs_ttbar,ggF vs $t\bar{t}$,ggf,ttbar,pretrained,rec,Rotation → Energy Noise → Spatial Crop,rotation_then_energy_noise_then_spatial_crop,logistic_regression,Logistic Regression,0.905,0.905,0.8901734104046243,0.924,0.9067713444553483,0.9511,0.792,0.792,0.8041666666666667,0.772,0.7877551020408163,0.8710240000000001,0.11299999999999999,0.11299999999999999,0.08600674373795758,0.15200000000000002,0.11901624241453201,0.08007599999999981,0,0,3,1.0,6.0
ggf_ttbar_rxs,ggf_vs_ttbar,ggF vs $t\bar{t}$,ggf,ttbar,pretrained,rxs,Rotation → XYZ Noise → Spatial Shift,rotation_then_xyz_noise_then_spatial_shift,logistic_regression,Logistic Regression,0.886,0.886,0.874031007751938,0.902,0.8877952755905512,0.949104,0.792,0.792,0.8041666666666667,0.772,0.7877551020408163,0.8710240000000001,0.09399999999999997,0.09399999999999997,0.06986434108527129,0.13,0.10004017354973482,0.07807999999999982,0,0,4,9.0,9.0
ggf_ttbar_rxc,ggf_vs_ttbar,ggF vs $t\bar{t}$,ggf,ttbar,pretrained,rxc,Rotation → XYZ Noise → Spatial Crop,rotation_then_xyz_noise_then_spatial_crop,logistic_regression,Logistic Regression,0.899,0.899,0.8888888888888888,0.912,0.9002961500493584,0.9506439999999999,0.792,0.792,0.8041666666666667,0.772,0.7877551020408163,0.8710240000000001,0.10699999999999998,0.10699999999999998,0.08472222222222214,0.14,0.11254104800854203,0.0796199999999998,0,0,5,2.0,8.0
ggf_ttbar_rsc,ggf_vs_ttbar,ggF vs $t\bar{t}$,ggf,ttbar,pretrained,rsc,Rotation → Spatial Shift → Spatial Crop,rotation_then_spatial_shift_then_spatial_crop,logistic_regression,Logistic Regression,0.899,0.899,0.8950495049504951,0.904,0.8995024875621891,0.9546,0.792,0.792,0.8041666666666667,0.772,0.7877551020408163,0.8710240000000001,0.10699999999999998,0.10699999999999998,0.09088283828382837,0.132,0.11174738552137276,0.08357599999999987,0,0,6,2.0,2.0
ggf_ttbar_exs,ggf_vs_ttbar,ggF vs $t\bar{t}$,ggf,ttbar,pretrained,exs,Energy Noise → XYZ Noise → Spatial Shift,energy_noise_then_xyz_noise_then_spatial_shift,logistic_regression,Logistic Regression,0.871,0.871,0.863013698630137,0.882,0.8724035608308606,0.9394319999999999,0.792,0.792,0.8041666666666667,0.772,0.7877551020408163,0.8710240000000001,0.07899999999999996,0.07899999999999996,0.0588470319634703,0.10999999999999999,0.08464845879004423,0.0684079999999998,0,0,7,12.0,12.0
ggf_ttbar_exc,ggf_vs_ttbar,ggF vs $t\bar{t}$,ggf,ttbar,pretrained,exc,Energy Noise → XYZ Noise → Spatial Crop,energy_noise_then_xyz_noise_then_spatial_crop,logistic_regression,Logistic Regression,0.857,0.857,0.8466019417475729,0.872,0.8591133004926108,0.936496,0.792,0.792,0.8041666666666667,0.772,0.7877551020408163,0.8710240000000001,0.06499999999999995,0.06499999999999995,0.042435275080906165,0.09999999999999998,0.07135819845179447,0.06547199999999986,0,0,8,13.0,13.0
